customer_id,article_id,product_type,product_group,colour,appearance,product_name,product_description,transaction_date,image_url
03d0011487606c37c1b1ed147fc72f285a50c05f00b9712e0fc3da400c864296,0652946001,Trousers,Garment Lower body,Blue,Denim,&DENIM Bootcut RW Speed,"5-pocket jeans in washed stretch denim with a regular waist, zip fly and button, and legs that flare at the hem.",2018-09-20,https://placehold.co/300x400?text=0652946001
03d0011487606c37c1b1ed147fc72f285a50c05f00b9712e0fc3da400c864296,0668766002,Blouse,Garment Upper body,Blue,Solid,Roger,"Blouse in an airy modal and cotton weave with hole embroidery at the top, short, elasticated raglan sleeves and a gently rounded hem.",2018-09-20,https://placehold.co/300x400?text=0668766002
03d0011487606c37c1b1ed147fc72f285a50c05f00b9712e0fc3da400c864296,0691275008,Blouse,Garment Upper body,White,Solid,Waves blouse,"Blouse in an airy jacquard weave with a small, frilled collar, an opening with a concealed button at the back of the neck, and long balloon sleeves with narrow, frill-trimmed, buttoned cuffs.",2018-09-20,https://placehold.co/300x400?text=0691275008
06d23b72cac134851a761473b40c881c300814981b6b0a3c4692ddf5a93f2a48,0652787001,Skirt,Garment Lower body,Black,Solid,KIWI SPORT JP EXCLUSIVE,"Short skirt in soft, stretch scuba fabric with an elasticated drawstring waist and side stripes.",2018-09-20,https://placehold.co/300x400?text=0652787001
06d23b72cac134851a761473b40c881c300814981b6b0a3c4692ddf5a93f2a48,0657476001,T-shirt,Garment Upper body,Red,Placement print,London 9.99,T-shirt in soft cotton jersey.,2018-09-20,https://placehold.co/300x400?text=0657476001
06d23b72cac134851a761473b40c881c300814981b6b0a3c4692ddf5a93f2a48,0668767002,Skirt,Garment Lower body,Black,Solid,CHERRY JERSEY,Short jersey skirt with concealed elastication at the waist.,2018-09-20,https://placehold.co/300x400?text=0668767002
06d23b72cac134851a761473b40c881c300814981b6b0a3c4692ddf5a93f2a48,0680912006,T-shirt,Garment Upper body,Black,Placement print,Linni tee,T-shirt in cotton jersey with a print motif on the front and short sleeves with sewn-in turn-ups.,2018-09-20,https://placehold.co/300x400?text=0680912006
06d23b72cac134851a761473b40c881c300814981b6b0a3c4692ddf5a93f2a48,0685687003,Sweater,Garment Upper body,Pink,Melange,W YODA KNIT OL OFFER,"V-neck knitted jumper with long sleeves and ribbing around the neckline, cuffs and hem.",2018-09-20,https://placehold.co/300x400?text=0685687003
06d23b72cac134851a761473b40c881c300814981b6b0a3c4692ddf5a93f2a48,0685687003,Sweater,Garment Upper body,Pink,Melange,W YODA KNIT OL OFFER,"V-neck knitted jumper with long sleeves and ribbing around the neckline, cuffs and hem.",2018-09-20,https://placehold.co/300x400?text=0685687003
1320d4b3dd6481cde05bb80fb7ca37397f70470b9afb96aeca5d41175acaf836,0501820042,Sweater,Garment Upper body,Blue,Solid,SIRPA,"Jumper in a soft knit with a slightly wider neckline and long sleeves. Ribbing around the neckline, cuffs and hem.",2018-09-20,https://placehold.co/300x400?text=0501820042
1320d4b3dd6481cde05bb80fb7ca37397f70470b9afb96aeca5d41175acaf836,0501820042,Sweater,Garment Upper body,Blue,Solid,SIRPA,"Jumper in a soft knit with a slightly wider neckline and long sleeves. Ribbing around the neckline, cuffs and hem.",2018-09-20,https://placehold.co/300x400?text=0501820042
1320d4b3dd6481cde05bb80fb7ca37397f70470b9afb96aeca5d41175acaf836,0501820043,Sweater,Garment Upper body,Red,Solid,SIRPA,"Jumper in a soft knit with a slightly wider neckline and long sleeves. Ribbing around the neckline, cuffs and hem.",2018-09-20,https://placehold.co/300x400?text=0501820043
1320d4b3dd6481cde05bb80fb7ca37397f70470b9afb96aeca5d41175acaf836,0501820043,Sweater,Garment Upper body,Red,Solid,SIRPA,"Jumper in a soft knit with a slightly wider neckline and long sleeves. Ribbing around the neckline, cuffs and hem.",2018-09-20,https://placehold.co/300x400?text=0501820043
1320d4b3dd6481cde05bb80fb7ca37397f70470b9afb96aeca5d41175acaf836,0501820045,Sweater,Garment Upper body,Light Pink,Solid,SIRPA,"Jumper in a soft knit with a slightly wider neckline and long sleeves. Ribbing around the neckline, cuffs and hem.",2018-09-20,https://placehold.co/300x400?text=0501820045
1320d4b3dd6481cde05bb80fb7ca37397f70470b9afb96aeca5d41175acaf836,0501820045,Sweater,Garment Upper body,Light Pink,Solid,SIRPA,"Jumper in a soft knit with a slightly wider neckline and long sleeves. Ribbing around the neckline, cuffs and hem.",2018-09-20,https://placehold.co/300x400?text=0501820045
1320d4b3dd6481cde05bb80fb7ca37397f70470b9afb96aeca5d41175acaf836,0591334014,Sweater,Garment Upper body,Pink,Solid,Flock,"Slightly shorter jumper in a soft, fine knit with long sleeves and ribbing around the neckline, cuffs and hem.",2018-09-20,https://placehold.co/300x400?text=0591334014
1320d4b3dd6481cde05bb80fb7ca37397f70470b9afb96aeca5d41175acaf836,0591334017,Sweater,Garment Upper body,Grey,Melange,Flock,"Slightly shorter jumper in a soft, fine knit with long sleeves and ribbing around the neckline, cuffs and hem.",2018-09-20,https://placehold.co/300x400?text=0591334017
